intpus:(2570, 15, 8), targets:(2570, 1)
source input:(2570, 15, 8), source target:(2570, 1)
intpus:(209, 15, 8), targets:(209, 1)
target input:(209, 15, 8), target target:(209, 1)
/usr/local/miniconda/lib/python3.8/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch:48, total loss:20.884260416030884, prediction loss:0.00488296989351511, cross loss:20.748851537704468 lr:0.001, time:4.885092496871948
epoch:49, total loss:20.884535431861877, prediction loss:0.0020453038159757853, cross loss:20.749198496341705 lr:0.001, time:4.8351030349731445
epoch:50, total loss:20.8824560046196, prediction loss:0.0025271924678236246, cross loss:20.74876070022583 lr:0.001, time:4.845328330993652
epoch:51, total loss:20.881087362766266, prediction loss:0.0039082788862288, cross loss:20.748517870903015 lr:0.001, time:4.817934989929199
epoch:52, total loss:20.890529990196228, prediction loss:0.002596798585727811, cross loss:20.750070989131927 lr:0.001, time:4.85236382484436
epoch:53, total loss:20.899603843688965, prediction loss:0.009221469052135944, cross loss:20.749909579753876 lr:0.001, time:4.842538833618164
epoch:54, total loss:20.88240146636963, prediction loss:0.00926120113581419, cross loss:20.74971652030945 lr:0.001, time:4.85638689994812
epoch:55, total loss:20.894423604011536, prediction loss:0.004475537221878767, cross loss:20.750104069709778 lr:0.001, time:4.94842267036438
epoch:56, total loss:20.880185067653656, prediction loss:0.0016948983538895845, cross loss:20.749334156513214 lr:0.001, time:4.882077932357788
epoch:57, total loss:20.88112986087799, prediction loss:0.0043769399635493755, cross loss:20.74917632341385 lr:0.001, time:4.842066287994385
epoch:58, total loss:20.876842617988586, prediction loss:0.0019305956084281206, cross loss:20.7486652135849 lr:0.001, time:4.818280935287476
epoch:59, total loss:20.88680648803711, prediction loss:0.0019245656440034509, cross loss:20.74884283542633 lr:0.001, time:4.846530199050903
epoch:60, total loss:20.877876460552216, prediction loss:0.0028796156402677298, cross loss:20.748614072799683 lr:0.001, time:4.825223684310913
epoch:61, total loss:20.888716757297516, prediction loss:0.014150588773190975, cross loss:20.750059068202972 lr:0.001, time:4.8743507862091064
epoch:62, total loss:20.870373904705048, prediction loss:0.003212750656530261, cross loss:20.7490274310112 lr:0.001, time:4.859604120254517
epoch:63, total loss:20.880940079689026, prediction loss:0.006726378109306097, cross loss:20.747869551181793 lr:0.001, time:4.87285304069519
epoch:64, total loss:20.868425846099854, prediction loss:0.004481086041778326, cross loss:20.748263835906982 lr:0.001, time:4.796876907348633
epoch:65, total loss:20.870075464248657, prediction loss:0.007220621686428785, cross loss:20.74866157770157 lr:0.001, time:4.875176906585693
epoch:66, total loss:20.879247546195984, prediction loss:0.006021667271852493, cross loss:20.747739672660828 lr:0.001, time:4.856483459472656
epoch:67, total loss:20.87155455350876, prediction loss:0.0018919565482065082, cross loss:20.747888565063477 lr:0.001, time:4.8844099044799805
epoch:68, total loss:20.87541490793228, prediction loss:0.005170060787349939, cross loss:20.74845641851425 lr:0.001, time:4.803497552871704
epoch:69, total loss:20.87952011823654, prediction loss:0.0016287729376927018, cross loss:20.748636662960052 lr:0.001, time:4.849327325820923
epoch:70, total loss:20.86576646566391, prediction loss:0.0064452472142875195, cross loss:20.748536705970764 lr:0.001, time:4.9009387493133545
epoch:71, total loss:20.88137149810791, prediction loss:0.0031300541013479233, cross loss:20.7489173412323 lr:0.001, time:5.025852680206299
epoch:72, total loss:20.869564950466156, prediction loss:0.002936192089691758, cross loss:20.747632682323456 lr:0.001, time:4.829221248626709
epoch:73, total loss:20.871575117111206, prediction loss:0.0077430191449820995, cross loss:20.748486936092377 lr:0.001, time:4.905131816864014
epoch:74, total loss:20.880796790122986, prediction loss:0.0019954554736614227, cross loss:20.748418390750885 lr:0.001, time:4.2995383739471436
epoch:75, total loss:20.87303251028061, prediction loss:0.0014494066126644611, cross loss:20.747716963291168 lr:0.001, time:4.8695127964019775
epoch:76, total loss:20.861718475818634, prediction loss:0.0020417345222085714, cross loss:20.748046934604645 lr:0.001, time:4.838316917419434
epoch:77, total loss:20.86723917722702, prediction loss:0.0033816515933722258, cross loss:20.748551845550537 lr:0.001, time:4.829433917999268
epoch:78, total loss:20.860640466213226, prediction loss:0.0018565052887424827, cross loss:20.747964084148407 lr:0.001, time:4.826598405838013
epoch:79, total loss:20.869372129440308, prediction loss:0.013114698231220245, cross loss:20.747709810733795 lr:0.001, time:4.8532445430755615
epoch:80, total loss:20.862132906913757, prediction loss:0.0017275855643674731, cross loss:20.74867480993271 lr:0.001, time:4.893609046936035
epoch:81, total loss:20.85970026254654, prediction loss:0.005299490876495838, cross loss:20.74961417913437 lr:0.001, time:4.9057605266571045
epoch:82, total loss:20.860329031944275, prediction loss:0.0033742215018719435, cross loss:20.748362481594086 lr:0.001, time:4.827637195587158
epoch:83, total loss:20.86726939678192, prediction loss:0.003147704293951392, cross loss:20.747784435749054 lr:0.001, time:4.289508819580078
epoch:84, total loss:20.864862501621246, prediction loss:0.004078262485563755, cross loss:20.748017370700836 lr:0.001, time:4.280608654022217
epoch:85, total loss:20.871899724006653, prediction loss:0.0017095468938350677, cross loss:20.74700152873993 lr:0.001, time:4.311302423477173
epoch:86, total loss:20.85442614555359, prediction loss:0.00043076250585727394, cross loss:20.746858417987823 lr:0.001, time:4.295866250991821
